item_key,display_name,class,subclass,stackable,max_stack,has_condition,bulk,weight,grid_cells,value,rarity,compatible,ammo,caliber,magazine_size,armor_rating,protection,capacity,script_class
Sticks,Sticks, Misc,,False,0,False,0.9,0.3,3.0,25,0,,,,,,0,0.0,ItemData
Ammo_12x70,12/70,Ammo,,True,300,False,0.3,0.3,1.0,200,0,,,,,,0,0.0,ItemData
Ammo_223,.223,Ammo,,True,300,False,0.5,0.5,1.0,300,0,,,,,,0,0.0,ItemData
Ammo_308,.308,Ammo,,True,300,False,0.6,0.6,1.0,400,1,,,,,,0,0.0,ItemData
Ammo_45ACP,.45,Ammo,,True,300,False,0.5,0.5,1.0,250,0,,,,,,0,0.0,ItemData
Ammo_46x30,4.6,Ammo,,True,300,False,0.5,0.5,1.0,400,1,,,,,,0,0.0,ItemData
Ammo_545x39,5.45,Ammo,,True,300,False,0.4,0.4,1.0,325,0,,,,,,0,0.0,ItemData
Ammo_762x39,7.62,Ammo,,True,300,False,0.6,0.6,1.0,350,0,,,,,,0,0.0,ItemData
Ammo_762x54R,7.62R,Ammo,,True,300,False,0.6,0.6,1.0,375,0,,,,,,0,0.0,ItemData
Ammo_9x18,9x18,Ammo,,True,300,False,0.3,0.3,1.0,200,0,,,,,,0,0.0,ItemData
Ammo_9x19,9x19,Ammo,,True,300,False,0.4,0.4,1.0,250,0,,,,,,0,0.0,ItemData
Ammo_9x39,9x39,Ammo,,True,300,False,0.3,0.3,1.0,400,1,,,,,,0,0.0,ItemData
Armor_Plate_II,Armor,Armor,,False,0,True,6.0,1.5,4.0,200,1,,,,,II,1,0.0,ItemData
Armor_Plate_III,Armor,Armor,,False,0,True,10.0,2.5,4.0,300,1,,,,,III,3,0.0,ItemData
Armor_Plate_IIIA,Armor,Armor,,False,0,True,8.0,2.0,4.0,250,1,,,,,IIIA,2,0.0,ItemData
Armor_Plate_III_Plus,Armor,Armor,,False,0,True,12.0,3.0,4.0,400,1,,,,,III+,4,0.0,ItemData
Armor_Plate_IV,Armor,Armor,,False,0,True,16.0,4.0,4.0,500,1,,,,,IV,5,0.0,ItemData
ACOG,ATOG,Attachment,Optic,False,0,False,1.2,0.6,2.0,950,1,,,,,,0,0.0,AttachmentData
AKM_Magazine,Mag.,Attachment,Magazine,False,30,False,0.6,0.3,2.0,110,0,Ammo_762x39,,,,,0,0.0,ItemData
AKS_74U_Magazine,Mag.,Attachment,Magazine,False,30,False,0.4,0.2,2.0,100,0,Ammo_545x39,,,,,0,0.0,ItemData
AK_12_Magazine,Mag.,Attachment,Magazine,False,30,False,0.4,0.2,2.0,120,0,Ammo_545x39,,,,,0,0.0,ItemData
ANPEQ,AN-15,Attachment,Laser,False,0,False,0.2,0.2,1.0,2250,1,,,,,,0,0.0,AttachmentData
Colt_1911_Magazine,Mag.,Attachment,Magazine,False,8,False,0.1,0.1,1.0,75,0,Ammo_45ACP,,,,,0,0.0,ItemData
EXPS,EXP,Attachment,Optic,False,0,False,0.5,0.5,1.0,850,1,,,,,,0,0.0,AttachmentData
Glock_17_Magazine,Mag.,Attachment,Magazine,False,17,False,0.1,0.1,1.0,90,0,Ammo_9x19,,,,,0,0.0,ItemData
HMR,HMR,Attachment,Optic,False,0,False,1.2,0.6,2.0,1250,1,,,,,,0,0.0,AttachmentData
Hybrid,Hybrid,Attachment,Muzzle,False,0,False,1.0,0.5,2.0,750,1,,,,,,0,0.0,AttachmentData
KAR_21_223_Magazine,Mag.,Attachment,Magazine,False,30,False,0.4,0.2,2.0,150,1,Ammo_223,,,,,0,0.0,ItemData
KAR_21_308_Magazine,Mag.,Attachment,Magazine,False,30,False,0.4,0.2,2.0,170,1,Ammo_308,,,,,0,0.0,ItemData
KAR_21_Barrel,Barrel,Attachment,,False,0,False,1.5,0.5,3.0,350,1,,,,,,0,0.0,AttachmentData
KP_31_Drum,Drum,Attachment,Magazine,False,72,False,4.4,1.1,4.0,250,1,Ammo_9x19,,,,,0,0.0,ItemData
Kobra,Kobra,Attachment,Optic,False,0,False,0.8,0.4,2.0,350,1,,,,,,0,0.0,AttachmentData
Leopard,Leopard,Attachment,Optic,False,0,False,2.1,0.7,3.0,1750,1,,,,,,0,0.0,AttachmentData
M78_Magazine,Mag.,Attachment,Magazine,False,20,False,0.6,0.3,2.0,450,1,Ammo_308,,,,,0,0.0,ItemData
MP5_Magazine,Mag.,Attachment,Magazine,False,30,False,0.4,0.2,2.0,60,0,Ammo_9x19,,,,,0,0.0,ItemData
MP7_Magazine,Mag.,Attachment,Magazine,False,40,False,0.1,,2.0,170,1,Ammo_46x30,,,,,0,0.0,ItemData
MRO,RMO,Attachment,Optic,False,0,False,0.3,0.3,1.0,740,1,,,,,,0,0.0,AttachmentData
Makarov_Magazine,Mag.,Attachment,Magazine,False,8,False,0.1,0.1,1.0,25,0,Ammo_9x18,,,,,0,0.0,ItemData
Micro,Micro,Attachment,Optic,False,0,False,0.2,0.2,1.0,450,1,,,,,,0,0.0,AttachmentData
Monster,Monster,Attachment,Muzzle,False,0,False,1.0,0.5,2.0,820,1,,,,,,0,0.0,AttachmentData
Navy,Navy,Attachment,Muzzle,False,0,False,0.8,0.4,2.0,880,1,,,,,,0,0.0,AttachmentData
OZ5,OZ5,Attachment,Laser,False,0,False,0.4,0.2,2.0,1250,1,,,,,,0,0.0,AttachmentData
P320_Magazine,Mag.,Attachment,Magazine,False,15,False,0.1,0.1,1.0,110,1,Ammo_9x19,,,,,0,0.0,ItemData
PBS,PBS,Attachment,Muzzle,False,0,False,1.2,0.6,2.0,330,1,,,,,,0,0.0,AttachmentData
POSP,POSP,Attachment,Optic,False,0,False,1.2,0.6,2.0,650,1,,,,,,0,0.0,AttachmentData
PRO,PRO,Attachment,Optic,False,0,False,1.0,0.5,2.0,650,1,,,,,,0,0.0,AttachmentData
PTN,PTN,Attachment,Muzzle,False,0,False,1.2,0.6,2.0,300,1,,,,,,0,0.0,AttachmentData
PU,PU Scope,Attachment,Optic,False,0,False,1.2,0.6,2.0,400,1,,,,,,0,0.0,AttachmentData
RK_Magazine,Mag.,Attachment,Magazine,False,30,False,0.4,0.2,2.0,120,0,Ammo_762x39,,,,,0,0.0,ItemData
RMR,MRM,Attachment,Optic,False,0,False,0.1,0.1,1.0,820,1,,,,,,0,0.0,AttachmentData
Rider,Rider,Attachment,Muzzle,False,0,False,0.4,0.2,2.0,800,1,,,,,,0,0.0,AttachmentData
SOCOM,SOCOM,Attachment,Muzzle,False,0,False,1.0,0.5,2.0,810,1,,,,,,0,0.0,AttachmentData
SRO,RSO,Attachment,Optic,False,0,False,0.1,0.1,1.0,840,1,,,,,,0,0.0,AttachmentData
STANAG_Magazine,Mag.,Attachment,Magazine,False,30,False,0.4,0.2,2.0,125,0,Ammo_223,,,,,0,0.0,ItemData
SVD_Magazine,Mag.,Attachment,Magazine,False,10,False,0.05,,1.0,150,1,Ammo_762x54R,,,,,0,0.0,ItemData
Salvo,SLV,Attachment,Muzzle,False,0,False,2.7,0.9,3.0,950,1,,,,,,0,0.0,AttachmentData
Thor,Thor,Attachment,Muzzle,False,0,False,1.4,0.7,2.0,990,1,,,,,,0,0.0,AttachmentData
VSS_Magazine,Mag.,Attachment,Magazine,False,20,False,0.2,0.2,1.0,150,1,Ammo_9x39,,,,,0,0.0,ItemData
Vudu,VDU,Attachment,Optic,False,0,False,1.8,0.6,3.0,1820,1,,,,,,0,0.0,AttachmentData
Backpack_Jaeger_Black,Jääkäri BP.,Backpack,,False,0,False,27.0,1.8,15.0,250,1,,,,,,0,30.0,ItemData
Backpack_Jaeger_Brown,Jääkäri BP.,Backpack,,False,0,False,27.0,1.8,15.0,250,1,,,,,,0,30.0,ItemData
Backpack_Jaeger_Green,Jääkäri BP.,Backpack,,False,0,False,27.0,1.8,15.0,250,1,,,,,,0,30.0,ItemData
Backpack_Jaeger_M05,Jääkäri BP.,Backpack,,False,0,False,27.0,1.8,15.0,250,1,,,,,,0,30.0,ItemData
Backpack_Nomad,Nomad BP.,Backpack,,False,0,False,14.4,1.2,12.0,100,0,,,,,,0,15.0,ItemData
Backpack_Patrol,Patrol BP.,Backpack,,False,0,False,18.0,1.5,12.0,200,1,,,,,,0,20.0,ItemData
Duffel_Retro,R. Duffel,Backpack,,False,0,False,4.0,0.5,8.0,75,0,,,,,,0,20.0,ItemData
Kukkaro_Black,Kukkaro,Belt Pouch,,False,0,False,0.4,0.2,2.0,70,0,,,,,,0,2.0,ItemData
Kukkaro_Brown,Kukkaro,Belt Pouch,,False,0,False,0.4,0.2,2.0,70,0,,,,,,0,2.0,ItemData
Kukkaro_Green,Kukkaro,Belt Pouch,,False,0,False,0.4,0.2,2.0,70,0,,,,,,0,2.0,ItemData
Kukkaro_M05,Kukkaro,Belt Pouch,,False,0,False,0.4,0.2,2.0,70,0,,,,,,0,2.0,ItemData
Beanie_Flame,F. Beanie,Clothing,,False,0,False,0.4,0.1,4.0,1500,3,,,,,,0,0.0,ItemData
Boots_Combat,C. Boots,Clothing,,False,0,False,4.8,1.2,4.0,160,0,,,,,,0,0.0,ItemData
